,phrases,positive_terms,positive_negative
428,ginger root grated tea give sharp warm smell,"ginger, sharp, smell, warm  ",1
429,new book open crisp paper ink scent,"ink, paper, scent  ",1
430,motel room faint odor bleach cigarette smoke,"bleach, cigarette, odor, smoke  ",1
431,chicken roast oven herb buttery aroma,"aroma, buttery, chicken, herb  ",1
432,box chalk open release dusty scent,"chalk, dusty, scent  ",1
433,rotten egg smash sidewalk sulfurous stench,"egg, rotten, stench  ",1
434,backyard barbecue carry smell meat charcoal,"charcoal, meat, smell  ",1
435,closet filled scent cedar lavender pouch,"cedar, lavender, scent  ",1
436,fish market thick air briny odor,"briny, fish, odor  ",1
437,spilled perfume coat sleeve cloying floral scent,"cloying, floral, perfume, scent  ",1
438,fresh rain hit asphalt smell mineral ozone,"asphalt, mineral, ozone, smell  ",1
439,unwashed sock emit foul sweaty odor,"foul, odor, sweaty  ",1
440,grilled pineapple sweet smoky tangy aroma,"aroma, pineapple, smoky, sweet, tangy  ",1
441,motor oil stain garage give greasy metallic smell,"greasy, metallic, oil, smell  ",1
442,barbecue pit smoke laced cumin garlic,"barbecue, cumin, garlic, smoke  ",1
443,onion bag split pantry pungent tear smell,"onion, pungent, smell  ",1
444,fresh paint dry wall acrid chemical odor,"acrid, chemical, odor, paint  ",1
445,florist shop smell rose lily fern,"fern, lily, rose, smell  ",1
446,cologne dab wrist musky citrus trail,"citrus, cologne, musky  ",1
447,pot simmer stew onion thyme meat aroma,"aroma, meat, onion, stew, thyme  ",1
448,bed linen folded scent rose detergent,"detergent, rose, scent  ",1
449,campfire blanket smell smoke wood ash,"ash, blanket, smoke, wood  ",1
450,old raincoat smell musty rubber mildew,"mildew, musty, rubber, smell",1
451,alleyway reek urine garbage rot,"garbage, rot, urine  ",1
452,fresh pear sliced emit crisp fruity aroma,"aroma, crisp, fruity, pear  ",1
453,classroom smell dry erase marker old textbook,"dry erase marker, smell, textbook  ",1
454,haystack barn warm sun release earthy scent,"earthy, haystack, scent  ",1
455,candle wick burn lavender vanilla fill room,"lavender, vanilla  ",1
456,fridge smell leftover curry onion,"curry, onion, smell  ",1
457,puppy blanket scent milk fur,"fur, milk, scent  ",1
458,bathroom cleaner sharp lemon bleach odor,"bleach, lemon, odor, sharp  ",1
459,freshly ground coffee fill air rich aroma,"aroma, coffee, rich  ",1
460,hair salon smell shampoo dye hairspray,"dye, hairspray, shampoo, smell  ",1
461,plastic toy box carry faint chemical scent,"chemical, plastic, scent  ",1
462,grape soda fizz burst sweet artificial smell,"artificial, grape, smell, sweet  ",1
463,cellar door open mold damp wood odor,"damp, mold, odor, wood  ",1
464,burn cinnamon stick release spicy warm scent,"cinnamon, spicy, warm  ",1
465,whiff sweaty t-shirt linger after gym,"shirt, sweaty, whiff  ",1
466,musty church pew smell incense polish,"incense, musty, polish, smell  ",1
467,potato fry oil send savory aroma kitchen,"aroma, oil, potato, savory  ",1
468,salty breeze blow pier fish vendor scent,"fish, salty, scent  ",1
469,old refrigerator rubber seal mildew smell,"mildew, rubber, smell  ",1
470,cooked lentils carry earthy musky scent,"earthy, lentils, musky, scent  ",1
471,hotel lobby smell citrus cleaner carpet,"citrus, cleaner, carpet, smell  ",1
472,aroma hot soup swirl steam bowl,"aroma, soup  ",1
473,rose bloom morning dew release sweet scent,"rose, scent, sweet  ",1
474,cornfield rustle breeze release green grassy odor,"grassy, green, odor  ",1
475,burn popcorn fill microwave bitter acrid smell,"acrid, bitter, popcorn, smell  ",1
476,woodsmoke cling scarf camp night,"camp, scarf, woodsmoke  ",1
477,child shoe smell grass mud detergent,"detergent, grass, mud, smell  ",1
478,fragrance lotion hint aloe cucumber,"cucumber, fragrance, lotion  ",1
479,grill pan hiss meat spice hit air,"meat, spice  ",1
480,dryer sheet soften clothe leave fresh scent,"clothe, fresh, scent  ",1
481,restaurant vent blow garlic fry odor,"fry, garlic, odor  ",1
482,pet cage smell sawdust animal waste,"animal, sawdust, smell, waste  ",1
483,book page hold scent attic lavender dust,"attic, dust, lavender, scent  ",1
484,public pool smell chlorine rubber float,"chlorine, rubber, smell  ",1
485,bakery scent butter sugar vanilla drift street,"butter, sugar, vanilla  ",1
486,mint chocolate chip cone melt sticky hand,"chocolate, mint  ",1
487,coffee bean grind burst nutty smoky aroma,"aroma, coffee, nutty, smoky  ",1
488,gasoline rag left garage acrid odor,"acrid, gasoline, odor  ",1
489,peanut butter cup give salty sweet scent,"butter, peanut, salty, scent, sweet  ",1
490,wet towel gym bag mildew stink,"mildew, stink, towel  ",1
491,holiday wreath pine clove cinnamon smell,"cinnamon,",1
492,cheese melt toast emit rich pungent aroma,"aroma, cheese, pungent, toast  ",1
493,wood cabin smell smoke pine moss,"pine, smoke, moss  ",1
494,tomato vine snap hand release sharp green scent,"green, sharp, tomato, scent  ",1
495,wet leaves stuck boot smell rot forest,"forest, leaves, rot, smell  ",1
496,honey drizzle biscuit bring floral sweet scent,"floral, honey, scent, sweet  ",1
497,soap bubble burst leave faint artificial perfume,"artificial, perfume, soap  ",1
498,tobacco leaf roll cigar give earthy musky smell,"earthy, musky, tobacco, smell  ",1
499,simmer broth carry garlic lemongrass aroma,"aroma, broth, garlic, lemongrass  ",1
0,1. A fearless diver plumbed unexplored reefs beneath gleaming tropical waves.,,0
1,2. Five luminous beetles danced gracefully above that quiet garden pond.,,0
2,3. Grandmother carefully crocheted vibrant blankets during chilly winter evenings indoors.,,0
3,4. Misty mountains concealed hidden monasteries that taught ancient martial arts.,,0
4,"5. Seven bold knights guarded the fortress under dark, turbulent storm clouds.",,0
5,6. Her nimble fingers strummed lullabies on that beloved wooden guitar.,,0
6,7. A jubilant puppy chased butterflies beside the flowering backyard fence.,,0
7,8. Cold ocean currents guided icebergs across distant northern shipping lanes.,,0
8,9. Professional dancers leaped elegantly across polished floors before cheering spectators.,,0
9,10. Patient teachers nurtured bright minds through inventive projects and daily encouragement.,,0
10,11. Blue jays perched confidently along cedar branches in late spring.,,0
11,12. Three curious children explored abandoned rooms behind that ancient mansion wall.,,0
12,13. Their towering sailboat glided swiftly across glassy waters toward distant horizons.,,0
13,14. An unexpected meteor shower illuminated farmland beneath vast midnight skies.,,0
14,15. Uncanny lights flickered eerily beyond the ghost town's crumbling wooden saloon.,,0
15,16. Kayakers navigated choppy rapids between jagged cliffs beneath low-hanging storm clouds.,,0
16,17. Thick vines clung persistently around cracked statues near the overgrown courtyard.,,0
17,"18. Whales surfaced briefly, greeting dawn watchers along a rocky coastline path.",,0
18,19. Two cunning foxes trotted silently across frosty fields at twilight.,,0
19,"20. Towering sunflowers swayed gently under bright rays, inviting busy honeybees.",,0
20,"21. Adventurous hikers charted hidden waterfalls inside dense, unexplored jungle interiors.",,0
21,22. Musicians rehearsed late melodies under hanging lanterns illuminating cobblestone streets.,,0
22,23. Vibrant fish darted unpredictably through colorful reefs near the coral ridge.,,0
23,24. Great pyramids stood majestically against scorching winds and endless desert sands.,,0
24,25. Her shining tiara sparkled brilliantly beneath elaborate ballroom chandeliers tonight.,,0
25,26. Drifting clouds formed imaginary creatures floating lazily across an azure sky.,,0
26,27. Electric guitars blasted powerful chords through that crowded concert arena.,,0
27,28. Surveyors mapped treacherous passes around steep ridges overlooking the alpine valley.,,0
28,29. Bewildered tourists glimpsed ancient carvings etched deep into cliff faces.,,0
29,"30. Cats lounged contentedly on sun-warmed windowsills during long, peaceful afternoons indoors.",,0
30,31. Two champion runners sprinted furiously beyond cheering fans toward the finish.,,0
31,32. A secret passage led visitors through centuries-old catacombs beneath campus grounds.,,0
32,"33. Ivy gradually covered abandoned walls, reclaiming crumbling bricks without hesitation.",,0
33,"34. Splendid fireworks exploded overhead, painting streaks across the star-filled summer sky.",,0
34,35. That bright comet arced gracefully over silent peaks at midnight.,,0
35,36. Cautious travelers checked weather reports before driving through mountainous switchback roads.,,0
36,37. Tall oak trees sheltered small creatures seeking refuge from midday heat.,,0
37,38. Agile gymnasts flipped expertly across padded mats during intense regional competitions.,,0
38,"39. Wildlife photographers crawled cautiously behind bushes, capturing breathtaking safari snapshots today.",,0
39,"40. Architects examined dusty blueprints, finalizing bold visions of upcoming city projects.",,0
40,"41. Tower bells chimed loudly, summoning villagers toward that candlelit evening mass.",,0
41,42. Several eagles soared confidently above rolling hills alongside drifting white clouds.,,0
42,"43. Experienced pilots maneuvered planes around sudden turbulence with professional, unwavering focus.",,0
43,44. Librarians arranged rare manuscripts carefully along climate-controlled archival storage shelves.,,0
44,45. Winding roads forced travelers to drive slowly around hairpin mountain bends.,,0
45,46. His brilliant mind decoded cryptic messages transmitted via archaic telegraph lines.,,0
46,"47. Fluttering kites dotted the sky, weaving patterns over the sprawling beach.",,0
47,"48. Joyful toddlers clapped excitedly, greeting parents at the vibrant daycare entrance.",,0
48,"49. Breathtaking hot-air balloons floated over farmland, pleasing crowds at sunrise festivals.",,0
49,50. Friends recounted humorous stories around glowing embers of their riverside campfire.,,0
50,51. A solitary monk meditated quietly beneath whispering pines near steep cliffs.,,0
51,"52. Rapid drummers synchronized beats, energizing dancers along crowded carnival processions downtown.",,0
52,53. The final puzzle piece completed everyoneâs teamwork at midnight celebrations.,,0
53,54. Ten restless horses galloped freely across mist-shrouded plains at early dawn.,,0
54,55. Rising tides challenged swimmers competing in the demanding triathlon championship race.,,0
55,56. Village elders debated resource allocations within that humble community hall.,,0
56,57. Harvest festivities united farmers showcasing produce during lively weekly market gatherings.,,0
57,58. Muscular blacksmiths hammered red-hot steel amid showers of bright flying sparks.,,0
58,59. Delighted children constructed elaborate sandcastles along clear shorelines each sunny weekend.,,0
59,60. Intricate ice sculptures gleamed under spotlights during seasonal winter carnivals worldwide.,,0
60,"61. Stray dogs howled mournfully, echoing across deserted farmland at moonlit hours.",,0
61,62. Skilled astronomers tracked planetary alignments through massive telescopes atop remote observatories.,,0
62,63. Boisterous cheerleaders rallied enthusiastic supporters throughout today's pivotal championship match.,,0
63,"64. Gallant stage actors performed vibrant scenes before a hushed, attentive audience.",,0
64,"65. Digital nomads typed feverishly inside coffee's, chasing looming project deadlines abroad.",,0
65,66. Morning runners passed sculpted statues along meticulously manicured park walking paths.,,0
66,"67. Artists blended contrasting pigments, developing paintings with striking emotional resonance.",,0
67,68. Sunlit dust motes drifted lazily through towering cathedral windows each afternoon.,,0
68,69. Horse-drawn wagons rattled unevenly along narrow roads bordered by rolling meadows.,,0
69,70. Eager surfers watched massive waves forming beyond the jagged coastal rocks.,,0
70,71. Rising black smoke signaled busy factories operating day and night shifts.,,0
71,72. Quiet librarians shelved countless volumes under flickering overhead lamps each evening.,,0
72,"73. Cheerful volunteers planted young seedlings, promoting sustainability across neglected urban districts.",,0
73,74. Clever detectives deciphered cryptic graffiti messages spray-painted under old railroad bridges.,,0
74,"75. Red foxes roamed farmland edges, stalking rodents scurrying between fields.",,0
75,76. Seasoned bakers kneaded dough vigorously before shaping loaves for community feasts.,,0
76,77. Towering reeds whispered softly beside tranquil rivers flowing toward distant wetlands.,,0
77,78. Serene monks chanted mantras inside ancient temples surrounded by carved pillars.,,0
78,"79. Falcons dove rapidly, surprising smaller prey on wide grassland plains nearby.",,0
79,"80. Elderly couples reminisced happily, flipping through worn photo albums together nightly.",,0
80,81. Skyscraper windows reflected city lights shimmering against the calm harbor water.,,0
81,"82. Yellow wildflowers blanketed rolling hills, brightening travelersâ panoramic views at sunrise.",,0
82,83. University students debated philosophical theories outside ivy-covered lecture halls all afternoon.,,0
83,"84. Cargo ships unloaded crates, supporting commerce at thriving international trade ports.",,0
84,85. Steady wind turbines harnessed clean energy for progressive neighborhoods across fields.,,0
85,"86. Falcons soared overhead, scanning valleys for prey hidden among brush.",,0
86,87. Desert wanderers rationed water supplies carefully during extended voyages through dunes.,,0
87,88. Rowdy spectators cheered enthusiastically while jets roared over the expansive runway.,,0
88,"89. Ambitious beekeepers expanded hives, boosting pollination efforts throughout nearby farmland projects.",,0
89,90. Enterprising engineers tested prototype vehicles within strictly controlled automotive laboratories underground.,,0
90,"91. Burgeoning entrepreneurs pitched fresh ideas, seeking partners during that innovative conference.",,0
91,"92. Exhausted marathon runners chugged electrolyte drinks, recuperating beneath temporary race tents.",,0
92,93. Hearty laughter echoed continuously around giant bonfires during summer festival nights.,,0
93,"94. Coders debugged numerous lines, ensuring stable platform performance before scheduled release.",,0
94,95. Magnificent ferries transported daily commuters across shimmering bay waters each morning.,,0
95,"96. Fitness enthusiasts lifted heavy barbells, sculpting muscles at modern downtown gyms.",,0
96,97. Respected authors autographed novels inside that bustling literary convention this weekend.,,0
97,98. Ancient roads revealed trading posts connecting distant kingdoms long before highways.,,0
98,"99. Tranquil fountains bubbled softly, attracting families seeking peaceful rest between errands.",,0
99,"100. Newfound friends exchanged postcards, celebrating shared experiences from every corner visited.",,0
100,101. Crisp pages turned as librarians organized shelves for eager readers.,,0
101,102. Glistening icicles formed patterns along gutters during brisk winter morning.,,0
102,103. Towering sequoias inspired photographers capturing sunlight streaming through canopies overhead.,,0
103,"104. Diligent nurses hurried between wards, ensuring care for every patient.",,0
104,105. Tower cranes moved heavy materials across sites under construction deadlines.,,0
